id,total_price,vat_price,valid_amount
29pwjsKx88nhnQKm9,2940,400,0
2A8CWG53t2riMi4d5,13130,2188,1
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,2490,0
2A8CWG53t2riMi4d5,10942,2490,0
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,1490,0
2A8CWG53t2riMi4d5,10942,890,0
2A8CWG53t2riMi4d5,10942,890,0
2A8CWG53t2riMi4d5,10942,900,0
2A8CWG53t2riMi4d5,10942,900,0
2A8CWG53t2riMi4d5,10942,2890,0
2A8CWG53t2riMi4d5,10942,2890,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,2490,0
2A8CWG53t2riMi4d5,13130,2490,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,1490,0
2A8CWG53t2riMi4d5,13130,890,0
2A8CWG53t2riMi4d5,13130,890,0
2A8CWG53t2riMi4d5,13130,900,0
2A8CWG53t2riMi4d5,13130,900,0
2A8CWG53t2riMi4d5,13130,2890,0
2A8CWG53t2riMi4d5,13130,2890,0
2AAizxTARPRp8PN4D,67200,11200,1
2AAizxTARPRp8PN4D,49000,7000,0
2AAizxTARPRp8PN4D,49000,7000,0
2AAizxTARPRp8PN4D,49000,7000,0
2AAizxTARPRp8PN4D,56000,7000,0
2AAizxTARPRp8PN4D,56000,7000,0
2AAizxTARPRp8PN4D,56000,7000,0
2AAizxTARPRp8PN4D,67200,7000,0
2AAizxTARPRp8PN4D,67200,7000,0
2AAizxTARPRp8PN4D,67200,7000,0
2AmdgHaZZsKxbKtSa,480,80,1
2BWLcAHqKAJTzwSDC,30000,534,0
2BWLcAHqKAJTzwSDC,30000,485,0
2CaJFzGSSRgyKEpK9,64952,10825,1
2D6A3fe8Ggpovv3EF,1490,248,1
2D6A3fe8Ggpovv3EF,72210,1490,0
2D6A3fe8Ggpovv3EF,72210,1490,0
2D6A3fe8Ggpovv3EF,72210,1242,0
2D7BuHc3f8wAmb4y8,4446,741,1
2D7BuHc3f8wAmb4y8,4446,1200,0
2D7BuHc3f8wAmb4y8,4446,125,0
2D7BuHc3f8wAmb4y8,1200,125,0
2D7BuHc3f8wAmb4y8,4780,1200,0
2D7BuHc3f8wAmb4y8,4780,125,0
2D7BuHc3f8wAmb4y8,3705,125,0
2D7BuHc3f8wAmb4y8,3705,125,0
2D7BuHc3f8wAmb4y8,4446,1200,0
2D7BuHc3f8wAmb4y8,4446,125,0
2D9qX4We3PaFAYSMR,95574,15929,1
2D9qX4We3PaFAYSMR,95574,9000,0
2D9qX4We3PaFAYSMR,95574,27578,0
2D9qX4We3PaFAYSMR,79645,9000,0
2D9qX4We3PaFAYSMR,61067,9000,0
2D9qX4We3PaFAYSMR,79645,9000,0
2D9qX4We3PaFAYSMR,95574,9000,0
